License No,Agency Name,Name of the Proprietor,Status,License Eeffective Date,License Renew Date,License Exp Date,Division,District,Thana
0003666,"Kabar Pather Hajj Jatri","Mawlana Jalal Uddin","License expired","19-Jun-2016","01-Jan-1970","18-Jun-2019",,,
0003679,"J N Travels and Tours","Johirul kaiyum","License expired","15-Feb-2017",,"14-Feb-2020",,,
0003669,"Jamal Uddin Travels ","Md.Mesbah Uddin","License expired","24-Jul-2016",,"23-Jul-2019",,,
0002563,"Moushumi Air Travels Ltd.","Lutfur Rahman Farooqi","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0003680,"Jashim Digital Tours and Travels","Jashim Uddin","License expired","20-Apr-2017",,"19-Apr-2020",,,
0000651,"Icon Air Express","Md.saiful Islam","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0008303,"Momen Shahi Travels","Md Kamal Hossain","License expired","22-Aug-2017","22-Aug-2017","31-Dec-2019",,,
0006560,"J S K Travels","Md. Khurshid Alam","License expired","11-Jan-2018","01-Jan-1970","10-Jan-2021",,,
0008322,"M S Travels and Tours","MONIRUL ISLAM","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0002517,"Mini Travels and Tours","Md. Moshiur Rahman","License expired","01-Jan-2017",,"31-Dec-2019",,,
0002552,"Monir Air Travels","monir  ahmed","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0001414,"Shahjalal Aviation System Ltd","MD SHAHJALAL MAZUMDER ","License expired","01-Jan-2017","01-Jan-1970","31-Dec-2019",,,
0001084,"Taniya Travels and Tours","Md.Dolilur Rahman Dulal","License expired","16-Aug-2017","01-Jan-1970","31-Dec-2019",,,
0001481,"Sauban Air Travels","FAYEJ AHMED","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0002612,"Macfee Travel & Tours","Md. Sajedul Alam","License expired","01-Jan-2017","01-Jan-1970","31-Dec-2019",,,
0002613,"Maas Travel and Tours Ltd.","Azad at Khwaja","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0001502,"Iras Air International Ltd.","Alhaj Mohammad Saiful Hossain","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0003769,"Independent Air Travels","Md. Sorwar Uddin","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0006803,"International Nabil Air Services","Md. Al Imran","License expired","28-Sep-2017",,"27-Sep-2020",,,
0002815,"Salman Air Travels","M. Saiful Islam","License expired","28-Aug-2017","28-Aug-2017","27-Aug-2020",,,
0011642,"Telon Corporation Ltd.","Md.Jalal Uddin","License expired","29-May-2017","01-Jan-1970","31-Dec-2019",,,
0008061,"Miami Travels and Tours","Mohammad Shamim","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0001006,"Travel World Express","Foyez Ahmed","License expired","29-May-2017","01-Jan-2017","31-Dec-2019",,,
0006149,"The Legal Associates","Nusrat Mahfuja","License expired","15-Jun-2017","01-Jan-1970","31-Dec-2019",,,
0011687,"Tinni Air Travels","Md. Robiul Islam","License expired","18-Jun-2017","01-Jan-1970","17-Jun-2020",,,
